Gene	Comparison	Set	Type	Count
Nek9	het_vs_wt	mrna_as_wt	filtered	1
Nek9	het_vs_wt	not_used	filtered	0
Nek9	het_vs_wt	ko_response	filtered	1
Oaz1	het_vs_wt	ko_response	unfiltered	NA
Oaz1	het_vs_wt	ko_response	filtered	NA
Orc1	het_vs_wt	ko_response	unfiltered	0
Orc1	het_vs_wt	ko_response	filtered	NA
Otud7b	het_vs_wt	ko_response	unfiltered	2
Otud7b	het_vs_wt	mrna_abnormal	filtered	0
Otud7b	het_vs_wt	mrna_as_wt	filtered	0
Otud7b	het_vs_wt	not_used	filtered	0
Otud7b	het_vs_wt	ko_response	filtered	2
Pdzk1	het_vs_wt	ko_response	unfiltered	0
Pdzk1	het_vs_wt	mrna_abnormal	filtered	0
Pdzk1	het_vs_wt	mrna_as_wt	filtered	0
Pdzk1	het_vs_wt	not_used	filtered	0
Pdzk1	het_vs_wt	ko_response	filtered	0
Pgap2	het_vs_wt	ko_response	unfiltered	3
Pgap2	het_vs_wt	ko_response	filtered	NA
Pigf	het_vs_wt	ko_response	unfiltered	0
Pigf	het_vs_wt	mrna_abnormal	filtered	0
Pigf	het_vs_wt	mrna_as_wt	filtered	1
Pigf	het_vs_wt	not_used	filtered	0
Pigf	het_vs_wt	ko_response	filtered	0
Pigl	het_vs_wt	ko_response	unfiltered	1
Pigl	het_vs_wt	ko_response	filtered	NA
Psph	het_vs_wt	ko_response	unfiltered	1
Psph	het_vs_wt	mrna_abnormal	filtered	0
Psph	het_vs_wt	mrna_as_wt	filtered	0
Psph	het_vs_wt	not_used	filtered	0
Psph	het_vs_wt	ko_response	filtered	1
Rala	het_vs_wt	ko_response	unfiltered	1
Rala	het_vs_wt	mrna_abnormal	filtered	0
Rala	het_vs_wt	mrna_as_wt	filtered	0
Rala	het_vs_wt	not_used	filtered	0
Rala	het_vs_wt	ko_response	filtered	2
RIKEN1700007K13	het_vs_wt	ko_response	unfiltered	0
RIKEN1700007K13	het_vs_wt	ko_response	filtered	NA
Rpgripl1	het_vs_wt	ko_response	unfiltered	1
Rpgripl1	het_vs_wt	ko_response	filtered	NA
Sh3pxd2a	het_vs_wt	ko_response	unfiltered	1
Sh3pxd2a	het_vs_wt	mrna_abnormal	filtered	0
Sh3pxd2a	het_vs_wt	mrna_as_wt	filtered	0
Sh3pxd2a	het_vs_wt	not_used	filtered	0
Sh3pxd2a	het_vs_wt	ko_response	filtered	1
Smc3	het_vs_wt	ko_response	unfiltered	3
Smc3	het_vs_wt	ko_response	filtered	NA
Smg1	het_vs_wt	ko_response	unfiltered	0
Smg1	het_vs_wt	mrna_abnormal	filtered	0
Smg1	het_vs_wt	mrna_as_wt	filtered	0
Smg1	het_vs_wt	not_used	filtered	9
Smg1	het_vs_wt	ko_response	filtered	0
Smg9	het_vs_wt	ko_response	unfiltered	0
Smg9	het_vs_wt	mrna_abnormal	filtered	0
Smg9	het_vs_wt	mrna_as_wt	filtered	0
Smg9	het_vs_wt	not_used	filtered	6
Smg9	het_vs_wt	ko_response	filtered	0
Ssr2	het_vs_wt	ko_response	unfiltered	1
Ssr2	het_vs_wt	ko_response	filtered	NA
Supt3	het_vs_wt	ko_response	unfiltered	2
Supt3	het_vs_wt	mrna_abnormal	filtered	1
Supt3	het_vs_wt	mrna_as_wt	filtered	881
Supt3	het_vs_wt	not_used	filtered	22
Supt3	het_vs_wt	ko_response	filtered	3
Tial1	het_vs_wt	ko_response	unfiltered	1
Tial1	het_vs_wt	mrna_abnormal	filtered	0
Tial1	het_vs_wt	mrna_as_wt	filtered	9
Tial1	het_vs_wt	not_used	filtered	2
Tial1	het_vs_wt	ko_response	filtered	6
Timmdc1	het_vs_wt	ko_response	unfiltered	1
Timmdc1	het_vs_wt	mrna_abnormal	filtered	0
Timmdc1	het_vs_wt	mrna_as_wt	filtered	0
Timmdc1	het_vs_wt	not_used	filtered	0
Timmdc1	het_vs_wt	ko_response	filtered	1
Tmem30a	het_vs_wt	ko_response	unfiltered	1
Tmem30a	het_vs_wt	ko_response	filtered	NA
Tmem98	het_vs_wt	ko_response	unfiltered	1
Tmem98	het_vs_wt	ko_response	filtered	NA
